Objective,Arch,Prompt,Model,Scenario,num_runs,num_seeds,seeds,mean_total_deliveries,std_total_deliveries,mean_total_steps,std_total_steps,mean_deliveries_per_1000_steps,std_deliveries_per_1000_steps,mean_llm_calls_per_1000_steps,std_llm_calls_per_1000_steps,mean_llm_calls_per_delivery,std_llm_calls_per_delivery,mean_invalid_action_rate,std_invalid_action_rate,mean_json_failure_rate,std_json_failure_rate,mean_charging_station_utilization_rate,std_charging_station_utilization_rate,mean_steps_to_first_delivery,std_steps_to_first_delivery
Calls,Shared,Json,phi4,medium_balanced_4v4,1,1,0,5,,1062,,4.70809792844,,1270.24482109,,269.8,,0,,0,,0.110758003766,,131,
Calls,Shared,Json,phi4,medium_agv_heavy_6v2,1,1,0,4,,842,,4.75059382423,,809.976247031,,170.5,,0,,0,,0.0656175771971,,28,
Calls,Shared,Json,qwen 14b (2.5),tiny_balanced_1v1,1,1,0,1,,543,,1.84162062615,,1263.35174954,,686,,0,,0,,0.460405156538,,43,
Calls,Shared,Json,qwen 14b (2.5),small_picker_heavy_2v4,1,1,0,0,,500,,0,,4598,,,,0,,0,,0.342,,,
Calls,Shared,Json,qwen 14b (2.5),small_balanced_2v2,1,1,0,0,,500,,0,,2138,,,,0,,0,,0.4755,,,
Calls,Shared,Json,qwen 14b (2.5),small_agv_heavy_4v2,1,1,0,0,,500,,0,,3944,,,,0.00101419878296,,0,,0.108333333333,,,
Calls,Shared,Json,qwen 14b (2.5),medium_balanced_4v4,1,1,0,0,,500,,0,,5594,,,,0,,0,,0.187,,,
Calls,Shared,Json,qwen 14b (2.5),medium_agv_heavy_6v2,1,1,0,0,,500,,0,,4306,,,,0.000928936367859,,0,,0.22,,,
Calls,Shared,Natural,llama 1b (3.2),tiny_balanced_1v1,3,1,0,4.33333333333,1.15470053838,938.666666667,15.3731367435,4.60381505041,1.16612105934,667.585929008,270.711424302,140.533333333,27.4053522753,0,0,,,0.388666244556,0.182695026512,62,1.73205080757
Calls,Shared,Natural,llama 1b (3.2),small_picker_heavy_2v4,1,1,0,7,,1145,,6.1135371179,,2006.98689956,,328.285714286,,0,,,,0.314264919942,,106,
Calls,Shared,Natural,llama 1b (3.2),small_balanced_2v2,3,1,0,0,0,500,0,0,0,886.666666667,104.332800851,,,0,0,,,0.0758333333333,0.00539289656245,,
Calls,Shared,Natural,llama 1b (3.2),small_agv_heavy_4v2,1,1,0,9,,1394,,6.456241033,,1743.18507891,,270,,0,,,,0.130200860832,,15,
Calls,Shared,Natural,llama 1b (3.2),medium_balanced_4v4,3,1,0,11,6.2449979984,1159.33333333,384.593725031,8.89095983802,3.17074336749,2849.82808495,497.398963554,342.891025641,97.9593570122,0,0,,,0.159925532562,0.0647690192226,50.6666666667,13.2790561914
Calls,Shared,Natural,llama 1b (3.2),medium_agv_heavy_6v2,1,1,0,4,,687,,5.82241630277,,2729.25764192,,468.75,,0,,,,0.00291120815138,,43,
Calls,Shared,Natural,llama 3b (3.2),tiny_balanced_1v1,1,1,0,11,,1252,,8.78594249201,,654.153354633,,74.4545454545,,0,,,,0.109424920128,,37,
Calls,Shared,Natural,llama 3b (3.2),small_picker_heavy_2v4,1,1,0,6,,820,,7.31707317073,,2574.3902439,,351.833333333,,0,,,,0.0327235772358,,32,
Calls,Shared,Natural,llama 3b (3.2),small_balanced_2v2,1,1,0,10,,1165,,8.58369098712,,1707.29613734,,198.9,,0,,,,0.0557939914163,,44,
Calls,Shared,Natural,llama 3b (3.2),small_agv_heavy_4v2,1,1,0,20,,1119,,17.873100983,,2352.99374441,,131.65,,0,,,,0.134495084897,,31,
Calls,Shared,Natural,llama 3b (3.2),medium_balanced_4v4,1,1,0,6,,731,,8.20793433653,,2247.60601915,,273.833333333,,0,,,,0.0218878248974,,48,
Calls,Shared,Natural,llama 3b (3.2),medium_agv_heavy_6v2,1,1,0,20,,1152,,17.3611111111,,2642.36111111,,152.2,,0,,,,0.106336805556,,26,
Calls,Shared,Natural,mistral 7b,tiny_balanced_1v1,1,1,0,2,,637,,3.13971742543,,1043.95604396,,332.5,,0,,,,0.107535321821,,34,
Calls,Shared,Natural,mistral 7b,small_picker_heavy_2v4,1,1,0,6,,969,,6.1919504644,,1769.86584107,,285.833333333,,0,,,,0.0908152734778,,24,
Calls,Shared,Natural,mistral 7b,small_balanced_2v2,1,1,0,12,,1907,,6.29260618773,,1921.34242265,,305.333333333,,0,,,,0.267042475092,,39,
Calls,Shared,Natural,mistral 7b,small_agv_heavy_4v2,1,1,0,19,,2037,,9.32744231713,,2396.17083947,,256.894736842,,0,,,,0.223776795942,,33,
Calls,Shared,Natural,mistral 7b,medium_balanced_4v4,1,1,0,5,,789,,6.3371356147,,4334.60076046,,684,,0,,,,0.191698352345,,46,
Calls,Shared,Natural,mistral 7b,medium_agv_heavy_6v2,1,1,0,15,,913,,16.4293537788,,2836.80175246,,172.666666667,,0,,,,0.0376506024096,,40,
Calls,Shared,Natural,gemma 12b,tiny_balanced_1v1,1,1,0,20,,1649,,12.1285627653,,874.469375379,,72.1,,0,,,,0.119769557307,,35,
Calls,Shared,Natural,gemma 12b,small_picker_heavy_2v4,1,1,0,20,,2578,,7.7579519007,,1583.78588053,,204.15,,0,,,,0.136281355056,,24,
Calls,Shared,Natural,gemma 12b,small_balanced_2v2,1,1,0,0,,500,,0,,280,,,,0,,,,0.101,,,
Calls,Shared,Natural,gemma 12b,small_agv_heavy_4v2,1,1,0,11,,1331,,8.26446280992,,1356.12321563,,164.090909091,,0,,,,0.146255947909,,41,
Calls,Shared,Natural,gemma 12b,medium_balanced_4v4,1,1,0,6,,1126,,5.32859680284,,1293.07282416,,242.666666667,,0,,,,0.119227353464,,46,
Calls,Shared,Natural,gemma 12b,medium_agv_heavy_6v2,1,1,0,6,,824,,7.28155339806,,1271.84466019,,174.666666667,,0,,,,0.101334951456,,40,
Calls,Shared,Natural,phi4,tiny_balanced_1v1,1,1,0,1,,535,,1.8691588785,,177.570093458,,95,,0,,,,0.119626168224,,35,
Calls,Shared,Natural,phi4,small_picker_heavy_2v4,1,1,0,3,,565,,5.30973451327,,1021.23893805,,192.333333333,,0,,,,0.143067846608,,24,
Calls,Shared,Natural,phi4,small_balanced_2v2,1,1,0,1,,572,,1.74825174825,,319.93006993,,183,,0,,,,0.0952797202797,,72,
Calls,Shared,Natural,phi4,small_agv_heavy_4v2,1,1,0,9,,1260,,7.14285714286,,917.46031746,,128.444444444,,0,,,,0.0884920634921,,41,
Calls,Shared,Natural,phi4,medium_balanced_4v4,1,1,0,7,,1032,,6.78294573643,,1242.24806202,,183.142857143,,0,,,,0.12257751938,,46,
Calls,Shared,Natural,phi4,medium_agv_heavy_6v2,1,1,0,5,,738,,6.77506775068,,688.346883469,,101.6,,0,,,,0.0741869918699,,32,
Calls,Shared,Natural,qwen 14b (2.5),tiny_balanced_1v1,1,1,0,3,,863,,3.47624565469,,410.196987254,,118,,0,,,,0.150057937428,,35,
Calls,Shared,Natural,qwen 14b (2.5),small_picker_heavy_2v4,1,1,0,17,,1670,,10.1796407186,,1679.04191617,,164.941176471,,0,,,,0.159381237525,,24,
Calls,Shared,Natural,qwen 14b (2.5),small_balanced_2v2,1,1,0,1,,572,,1.74825174825,,604.895104895,,346,,0,,,,0.116695804196,,72,
Calls,Shared,Natural,qwen 14b (2.5),small_agv_heavy_4v2,1,1,0,10,,1146,,8.7260034904,,1231.2390925,,141.1,,0,,,,0.0974403723095,,41,
Calls,Shared,Natural,qwen 14b (2.5),medium_balanced_4v4,1,1,0,6,,1022,,5.87084148728,,1557.72994129,,265.333333333,,0,,,,0.143590998043,,48,
Calls,Shared,Natural,qwen 14b (2.5),medium_agv_heavy_6v2,1,1,0,9,,2005,,4.48877805486,,585.037406484,,130.333333333,,0,,,,0.0600997506234,,32,
Shelf Deliveries,Centralized,Json,llama 1b (3.2),tiny_balanced_1v1,1,1,0,0,,200,,0,,345,,,,0,,,,,,,
Shelf Deliveries,Centralized,Json,llama 1b (3.2),small_picker_heavy_2v4,1,1,0,0,,200,,0,,550,,,,0,,,,,,,
Shelf Deliveries,Centralized,Json,llama 1b (3.2),small_balanced_2v2,1,1,0,0,,200,,0,,435,,,,0,,,,,,,
Shelf Deliveries,Centralized,Json,llama 1b (3.2),small_agv_heavy_4v2,1,1,0,0,,200,,0,,655,,,,0,,,,,,,
Shelf Deliveries,Centralized,Json,llama 1b (3.2),medium_balanced_4v4,1,1,0,1,,361,,2.77008310249,,545.706371191,,197,,0,,,,,,161,
Shelf Deliveries,Centralized,Json,llama 1b (3.2),medium_agv_heavy_6v2,1,1,0,0,,200,,0,,615,,,,0,,,,,,,
Shelf Deliveries,Centralized,Json,llama 3b (3.2),tiny_balanced_1v1,1,1,0,1,,253,,3.95256916996,,193.675889328,,49,,0,,,,,,53,
Shelf Deliveries,Centralized,Json,llama 3b (3.2),small_picker_heavy_2v4,1,1,0,1,,381,,2.62467191601,,664.041994751,,253,,0,,,,,,181,
Shelf Deliveries,Centralized,Json,llama 3b (3.2),small_balanced_2v2,1,1,0,0,,200,,0,,620,,,,0,,,,,,,
Shelf Deliveries,Centralized,Json,llama 3b (3.2),small_agv_heavy_4v2,1,1,0,0,,200,,0,,725,,,,0,,,,,,,
Shelf Deliveries,Centralized,Json,llama 3b (3.2),medium_balanced_4v4,1,1,0,0,,200,,0,,1000,,,,0,,,,,,,
Shelf Deliveries,Centralized,Json,llama 3b (3.2),medium_agv_heavy_6v2,1,1,0,0,,200,,0,,960,,,,0,,,,,,,
Shelf Deliveries,Centralized,Json,mistral 7b,tiny_balanced_1v1,1,1,0,1,,370,,2.7027027027,,475.675675676,,176,,0,,,,,,170,
Shelf Deliveries,Centralized,Json,mistral 7b,small_picker_heavy_2v4,1,1,0,2,,567,,3.52733686067,,396.825396825,,112.5,,0,,,,,,183,
Shelf Deliveries,Centralized,Json,mistral 7b,small_balanced_2v2,1,1,0,2,,393,,5.08905852417,,473.282442748,,93,,0,,,,,,173,
Shelf Deliveries,Centralized,Json,mistral 7b,small_agv_heavy_4v2,1,1,0,0,,200,,0,,415,,,,0,,,,,,,
Shelf Deliveries,Centralized,Json,mistral 7b,medium_balanced_4v4,1,1,0,0,,200,,0,,810,,,,0,,,,,,,
Shelf Deliveries,Centralized,Json,mistral 7b,medium_agv_heavy_6v2,1,1,0,0,,200,,0,,1000,,,,0,,,,,,,
