Objective,Arch,Prompt,Model,Scenario,Seed,Run,llm_calls,json_generation_failures,llm_missing_or_invalid_actions,charging_station_utilization_rate,elapsed_seconds,steps to first delivery,total deliveries,total steps,deliveries_per_1000_steps,llm_calls_per_1000_steps,llm_calls_per_delivery,invalid_action_rate,json_failure_rate,summary_json_path
Battery + Shelf,Shared,Json,gemma 12b,small_balanced_2v2,0,session_cps_20260618,289,0,0,0.107200647249,1063.37766528,118,1,618,1.61812297735,467.637540453,289,0,0,Battery-TA-RWARE/results/shelf/shared_context/json/session_cps_20260618/gemma3_12b/small_balanced_2v2/json/summary.json
Battery + Shelf,Shared,Json,gemma 12b,small_agv_heavy_4v2,0,session_cps_20260618,1364,0,0,0.108704372242,5299.08529639,84,6,831,7.2202166065,1641.39590854,227.333333333,0,0,Battery-TA-RWARE/results/shelf/shared_context/json/session_cps_20260618/gemma3_12b/small_agv_heavy_4v2/json/summary.json
Battery + Shelf,Shared,Json,gemma 12b,medium_balanced_4v4,0,session_cps_20260618,4953,0,0,0.136752136752,19239.3200991,168,2,1053,1.89933523267,4703.7037037,2476.5,0,0,Battery-TA-RWARE/results/shelf/shared_context/json/session_cps_20260618/gemma3_12b/medium_balanced_4v4/json/summary.json
Battery + Shelf,Shared,Json,gemma 12b,medium_agv_heavy_6v2,0,session_cps_20260618,2812,0,0,0.162275064267,10330.5377862,278,1,778,1.2853470437,3614.39588689,2812,0,0,Battery-TA-RWARE/results/shelf/shared_context/json/session_cps_20260618/gemma3_12b/medium_agv_heavy_6v2/json/summary.json
Battery + Shelf,Shared,Natural,llama 1b (3.2),tiny_balanced_1v1,0,session_cps_20260618,519,NA,0,0.497237569061,203.707727909,61,3,724,4.14364640884,716.850828729,173,0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/llama3.2_1b/tiny_balanced_1v1/language/summary.json
Battery + Shelf,Shared,Natural,llama 1b (3.2),small_picker_heavy_2v4,0,session_cps_20260618,1501,NA,0,0.588333333333,780.616829634,92,2,600,3.33333333333,2501.66666667,750.5,0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/llama3.2_1b/small_picker_heavy_2v4/language/summary.json
Battery + Shelf,Shared,Natural,llama 1b (3.2),small_balanced_2v2,0,session_cps_20260618,302,NA,0,0.0985,239.098882914,,0,500,0,604,,0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/llama3.2_1b/small_balanced_2v2/language/summary.json
Battery + Shelf,Shared,Natural,llama 1b (3.2),small_agv_heavy_4v2,0,session_cps_20260618,1193,NA,0,0.164307381193,829.058491945,75,8,989,8.08897876643,1206.26895854,149.125,0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/llama3.2_1b/small_agv_heavy_4v2/language/summary.json
Battery + Shelf,Shared,Natural,llama 1b (3.2),medium_balanced_4v4,0,session_cps_20260618,2183,NA,0,0.0174278846154,4342.59477544,42,8,832,9.61538461538,2623.79807692,272.875,0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/llama3.2_1b/medium_balanced_4v4/language/summary.json
Battery + Shelf,Shared,Natural,llama 1b (3.2),medium_agv_heavy_6v2,0,session_cps_20260618,2724,NA,0,0.241071428571,2852.63138485,75,9,910,9.89010989011,2993.40659341,302.666666667,0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/llama3.2_1b/medium_agv_heavy_6v2/language/summary.json
Battery + Shelf,Shared,Natural,llama 3b (3.2),tiny_balanced_1v1,0,session_cps_20260618,608,NA,0,0.14691943128,949.754647255,37,2,633,3.15955766193,960.505529226,304,0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/llama3.2_3b/tiny_balanced_1v1/language/summary.json
Battery + Shelf,Shared,Natural,llama 3b (3.2),small_picker_heavy_2v4,0,session_cps_20260618,5124,NA,0,0.15605875153,10955.8553982,213,18,2451,7.34394124847,2090.5752754,284.666666667,0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/llama3.2_3b/small_picker_heavy_2v4/language/summary.json
Battery + Shelf,Shared,Natural,llama 3b (3.2),small_balanced_2v2,0,session_cps_20260618,3149,NA,0,0.183110367893,6082.92866135,70,18,2691,6.6889632107,1170.19695281,174.944444444,0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/llama3.2_3b/small_balanced_2v2/language/summary.json
Battery + Shelf,Shared,Natural,llama 3b (3.2),small_agv_heavy_4v2,0,session_cps_20260618,2361,NA,0,0.136778563015,5052.74680114,31,20,1132,17.667844523,2085.68904594,118.05,0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/llama3.2_3b/small_agv_heavy_4v2/language/summary.json
Battery + Shelf,Shared,Natural,llama 3b (3.2),medium_balanced_4v4,0,session_cps_20260618,4317,NA,0,0.144495412844,12397.2960868,113,20,1526,13.1061598952,2828.96461337,215.85,0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/llama3.2_3b/medium_balanced_4v4/language/summary.json
Battery + Shelf,Shared,Natural,llama 3b (3.2),medium_agv_heavy_6v2,0,session_cps_20260618,2767,NA,0,0.0968804920914,7524.4405458,45,20,1138,17.5746924429,2431.45869947,138.35,0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/llama3.2_3b/medium_agv_heavy_6v2/language/summary.json
Battery + Shelf,Shared,Natural,mistral 7b,tiny_balanced_1v1,0,session_cps_20260618,795,NA,349,0.355354659249,27629.124218,40,3,719,4.17246175243,1105.70236439,265,0.438993710692,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/mistral_7b/tiny_balanced_1v1/language/summary.json
Battery + Shelf,Shared,Natural,gemma 12b,tiny_balanced_1v1,0,session_cps_20260618,1199,NA,0,0.117952928298,2818.30163956,35,15,1827,8.21018062397,656.267104543,79.9333333333,0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/gemma3_12b/tiny_balanced_1v1/language/summary.json
Battery + Shelf,Shared,Natural,gemma 12b,small_picker_heavy_2v4,0,session_cps_20260618,877,NA,0,0.141836370132,2695.13920021,24,6,933,6.4308681672,939.978563773,146.166666667,0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/gemma3_12b/small_picker_heavy_2v4/language/summary.json
Battery + Shelf,Shared,Natural,gemma 12b,small_balanced_2v2,0,session_cps_20260618,133,NA,0,0.1,386.740194321,,0,500,0,266,,0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/gemma3_12b/small_balanced_2v2/language/summary.json
Battery + Shelf,Shared,Natural,gemma 12b,small_agv_heavy_4v2,0,session_cps_20260618,1618,NA,0,0.0850195243166,5263.19397974,41,14,1878,7.45473908413,861.55484558,115.571428571,0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/gemma3_12b/small_agv_heavy_4v2/language/summary.json
Battery + Shelf,Shared,Natural,gemma 12b,medium_balanced_4v4,0,session_cps_20260618,901,NA,0,0.116264559068,3626.49573016,46,4,601,6.65557404326,1499.16805324,225.25,0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/gemma3_12b/medium_balanced_4v4/language/summary.json
Battery + Shelf,Shared,Natural,gemma 12b,medium_agv_heavy_6v2,0,session_cps_20260618,1285,NA,0,0.104935194417,4537.12320924,40,9,1003,8.97308075773,1281.15653041,142.777777778,0,NA,Battery-TA-RWARE/results/shelf/shared_context/natural/session_cps_20260618/gemma3_12b/medium_agv_heavy_6v2/language/summary.json
