Objective,Arch,Prompt,Model,Scenario,Seed,Run,llm_calls,json_generation_failures,llm_missing_or_invalid_actions,charging_station_utilization_rate,elapsed_seconds,steps to first delivery,total deliveries,total steps,deliveries_per_1000_steps,llm_calls_per_1000_steps,llm_calls_per_delivery,invalid_action_rate,json_failure_rate,summary_json_path
Calls,Centralized,Json,llama 1b (3.2),medium_agv_heavy_6v2,0,valid_session1/session2-many-invalid,473,0,3758,0.0,1320.7305369377136,,0,500,0.0,946.0,,7.945031712473573,0.0,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/llama3.2_1b/session2-many-invalid/medium_agv_heavy_6v2/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),medium_balanced_4v4,0,valid_session1/session2-many-invalid,209,0,1053,0.013,11322.979447841644,,0,500,0.0,418.0,,5.038277511961723,0.0,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/llama3.2_1b/session2-many-invalid/medium_balanced_4v4/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),small_agv_heavy_4v2,0,valid_session1/session2-many-invalid,146,0,234,0.0,6942.6538326740265,,0,500,0.0,292.0,,1.6027397260273972,0.0,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/llama3.2_1b/session2-many-invalid/small_agv_heavy_4v2/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),small_balanced_2v2,0,valid_session1/session2-many-invalid,491,0,344,0.0,2221.959543466568,,0,500,0.0,982.0,,0.7006109979633401,0.0,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/llama3.2_1b/session2-many-invalid/small_balanced_2v2/json/summary.json
Calls,Centralized,Json,llama 1b (3.2),tiny_balanced_1v1,0,valid_session1/session2-many-invalid,482,1,914,0.0,304.4318296909332,,0,500,0.0,964.0,,1.896265560165975,0.002074688796680498,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/llama3.2_1b/session2-many-invalid/tiny_balanced_1v1/json/summary.json
Calls,Centralized,Json,mistral 7b,medium_agv_heavy_6v2,0,valid_session1,500,0,4000,0.0,30267.385519981384,,0,500,0.0,1000.0,,8.0,0.0,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/mistral_7b/medium_agv_heavy_6v2/json/summary.json
Calls,Centralized,Json,mistral 7b,medium_balanced_4v4,0,valid_session1,479,0,3218,0.0,29059.21806049347,,0,500,0.0,958.0,,6.718162839248434,0.0,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/mistral_7b/medium_balanced_4v4/json/summary.json
Calls,Centralized,Json,mistral 7b,small_agv_heavy_4v2,0,valid_session1,1081,0,4184,0.24322874765352642,64589.11962246895,111,5,1243,4.022526146419952,869.6701528559936,216.2,3.870490286771508,0.0,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/mistral_7b/small_agv_heavy_4v2/json/summary.json
Calls,Centralized,Json,mistral 7b,small_balanced_2v2,0,valid_session1,953,0,2014,0.26301853486319504,55797.837277173996,106,3,1133,2.64783759929391,841.1297440423654,317.6666666666667,2.1133263378803777,0.0,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/mistral_7b/small_balanced_2v2/json/summary.json
Calls,Centralized,Json,mistral 7b,tiny_balanced_1v1,0,valid_session1,287,0,300,0.258,15302.431960344315,,0,500,0.0,574.0,,1.0452961672473868,0.0,Battery-TA-RWARE/results/calls/centralized/json/valid_session1/mistral_7b/tiny_balanced_1v1/json/summary.json
